"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","26","1","2","1.1","0.3","+2"
"2",1,"Jaxon Smith-Njigba",SEA,"WR2","24","2","5","3.0","1.3","+3"
"3",1,"Puka Nacua",LAR,"WR3","25","3","5","3.7","0.8","+1"
"4",1,"Bijan Robinson",ATL,"RB1","24","2","5","3.8","1.2","-3"
"5",1,"Jahmyr Gibbs",DET,"RB2","24","2","6","4.3","1.4","-3"
"6",2,"Amon-Ra St. Brown",DET,"WR4","26","4","9","5.8","1.8","0"
"7",2,"Justin Jefferson",MIN,"WR5","27","6","12","8.1","1.8","+1"
"8",2,"CeeDee Lamb",DAL,"WR6","27","7","13","9.4","2.3","+4"
"9",2,"Ashton Jeanty",LV,"RB3","22","8","16","11.0","2.6","-2"
"10",2,"Malik Nabers",NYG,"WR7","23","8","19","11.8","3.2","0"
"11",2,"Drake London",ATL,"WR8","25","10","14","12.0","1.7","+8"
"12",3,"James Cook III",BUF,"RB4","26","8","20","14.4","3.8","+5"
"13",3,"Jonathan Taylor",IND,"RB5","27","9","28","16.3","6.0","0"
"14",3,"De'Von Achane",MIA,"RB6","24","10","24","16.3","3.9","0"
"15",3,"Jeremiyah Love",ARI,"RB7","21","9","62","16.7","13.9","0"
"16",3,"Nico Collins",HOU,"WR9","27","14","24","17.4","3.1","+11"
"17",3,"Brock Bowers",LV,"TE1","23","6","23","17.7","5.5","-6"
"18",3,"Tetairoa McMillan",CAR,"WR10","23","14","27","18.7","4.1","+6"
"19",3,"George Pickens",DAL,"WR11","25","14","27","19.7","4.0","+2"
"20",3,"Omarion Hampton",LAC,"RB8","23","12","35","20.0","6.1","-4"
"21",4,"Josh Allen",BUF,"QB1","30","19","25","21.2","2.3","-12"
"22",4,"Chris Olave",NO,"WR12","26","20","29","24.7","3.1","+8"
"23",4,"Emeka Egbuka",TB,"WR13","23","18","38","25.8","6.3","0"
"24",4,"Trey McBride",ARI,"TE2","26","9","33","26.1","7.6","-6"
"25",4,"Kenneth Walker III",KC,"RB9","25","15","50","28.4","10.9","+1"
"26",4,"Drake Maye",NE,"QB2","24","19","49","28.5","7.2","-4"
"",4
"27",4,"Garrett Wilson",NYJ,"WR14","26","22","41","29.7","5.5","+9"
"28",4,"Zay Flowers",BAL,"WR15","25","26","41","30.8","3.9","+19"
"29",4,"Lamar Jackson",BAL,"QB3","29","24","42","31.8","6.2","+2"
"30",5,"DeVonta Smith",PHI,"WR16","27","24","43","33.7","5.7","+19"
"31",5,"Ladd McConkey",LAC,"WR17","24","27","40","34.3","4.4","+1"
"32",5,"Tee Higgins",CIN,"WR18","27","27","44","35.1","5.5","+22"
"33",5,"A.J. Brown",NE,"WR19","29","17","48","35.2","9.2","+4"
"34",5,"Carnell Tate",TEN,"WR20","21","19","71","35.2","14.6","+6"
"35",5,"Luther Burden III",CHI,"WR21","22","21","57","35.6","9.4","+11"
"36",5,"Jayden Daniels",WAS,"QB4","25","28","46","37.1","6.0","+6"
"37",5,"Colston Loveland",CHI,"TE3","22","18","47","38.3","7.8","-8"
"38",5,"Breece Hall",NYJ,"RB10","25","24","59","38.5","11.5","-3"
"39",5,"Chase Brown",CIN,"RB11","26","21","50","39.3","6.5","-14"
"40",5,"Rashee Rice",KC,"WR22","26","22","76","41.3","15.9","-1"
"41",5,"Joe Burrow",CIN,"QB5","29","28","51","41.9","6.1","-3"
"42",5,"Tyler Warren",IND,"TE4","24","29","48","43.3","6.1","-8"
"43",5,"Jaylen Waddle",DEN,"WR23","27","34","60","44.4","7.7","+19"
"44",6,"Christian McCaffrey",SF,"RB12","30","11","65","46.9","18.1","-24"
"45",6,"Rome Odunze",CHI,"WR24","24","34","59","46.9","9.2","+5"
"46",6,"Caleb Williams",CHI,"QB6","24","36","64","46.9","8.0","+5"
"47",6,"Makai Lemon",PHI,"WR25","22","33","83","48.5","15.5","+19"
"48",6,"Justin Herbert",LAC,"QB7","28","42","65","49.1","6.1","+24"
"49",6,"Tucker Kraft",GB,"TE5","25","43","53","49.2","2.7","+9"
"50",6,"Jameson Williams",DET,"WR26","25","37","62","51.0","8.5","+15"
"51",6,"Saquon Barkley",PHI,"RB13","29","21","64","51.2","12.9","-23"
"52",6,"Jordyn Tyson",NO,"WR27","22","33","82","53.7","18.8","+11"
"53",6,"Jalen Hurts",PHI,"QB8","28","45","67","54.8","5.9","+4"
"54",6,"Patrick Mahomes II",KC,"QB9","30","46","72","55.8","7.5","+27"
"55",6,"Quinshon Judkins",CLE,"RB14","22","40","80","55.9","10.5","-14"
"56",6,"TreVeyon Henderson",NE,"RB15","23","35","98","56.0","19.8","-23"
"57",6,"Harold Fannin Jr.",CLE,"TE6","22","48","69","56.5","6.0","-4"
"58",6,"Kyren Williams",LAR,"RB16","26","47","66","56.6","5.7","-14"
"59",6,"Trevor Lawrence",JAC,"QB10","26","51","95","58.9","11.2","+33"
"60",6,"Marvin Harrison Jr.",ARI,"WR28","24","40","75","59.7","10.4","+1"
"61",7,"Kyle Pitts Sr.",ATL,"TE7","25","53","70","60.1","5.1","+6"
"62",7,"Sam LaPorta",DET,"TE8","25","53","69","60.3","4.3","-7"
"63",7,"Christian Watson",GB,"WR29","27","40","79","60.8","11.3","+13"
"64",7,"Bucky Irving",TB,"RB17","24","45","79","63.6","10.2","-21"
"65",7,"Brian Thomas Jr.",JAC,"WR30","23","41","80","65.4","13.0","-1"
"66",7,"Terry McLaurin",WAS,"WR31","30","36","82","66.3","14.1","+11"
"67",7,"Brock Purdy",SF,"QB11","26","54","114","67.1","15.4","+40"
"68",7,"Javonte Williams",DAL,"RB18","26","55","80","67.3","7.3","-16"
"69",7,"Travis Etienne Jr.",NO,"RB19","27","60","80","68.8","4.8","-10"
"70",7,"Jaxson Dart",NYG,"QB12","23","56","110","69.0","15.5","+3"
"71",7,"Cam Skattebo",NYG,"RB20","24","63","90","71.8","8.3","-26"
"72",7,"DJ Moore",BUF,"WR32","29","57","83","73.3","6.9","+2"
"73",7,"KC Concepcion",CLE,"WR33","21","43","113","73.5","19.0","+2"
"74",7,"Alec Pierce",IND,"WR34","26","67","83","74.5","4.6","+16"
"75",7,"Parker Washington",JAC,"WR35","24","57","106","75.8","13.3","+5"
"76",7,"Bo Nix",DEN,"QB13","26","61","96","76.1","11.0","+7"
"77",7,"Jadarian Price",SEA,"RB21","22","60","92","76.3","11.3","-17"
"78",7,"Josh Jacobs",GB,"RB22","28","58","88","77.8","10.0","-22"
"79",7,"Derrick Henry",BAL,"RB23","32","39","88","77.8","15.2","-31"
"80",8,"DK Metcalf",PIT,"WR36","28","73","93","81.3","7.1","+14"
"81",8,"Bhayshul Tuten",JAC,"RB24","23","74","88","82.3","5.3","-13"
"82",8,"Isaiah Likely",NYG,"TE9","26","69","103","82.4","8.4","+16"
"83",8,"Davante Adams",LAR,"WR37","33","41","120","85.6","23.1","-5"
"84",8,"Jordan Addison",MIN,"WR38","24","73","95","85.9","6.5","0"
"85",8,"D'Andre Swift",CHI,"RB25","27","76","97","86.5","5.9","-16"
"86",8,"Dalton Kincaid",BUF,"TE10","26","69","114","86.8","11.8","-1"
"87",8,"Dak Prescott",DAL,"QB14","33","63","135","87.6","18.0","+19"
"88",8,"Kenyon Sadiq",NYJ,"TE11","21","66","155","88.0","25.9","+1"
"89",8,"George Kittle",SF,"TE12","32","64","116","91.2","17.5","+15"
"90",8,"Jordan Love",GB,"QB15","27","72","116","93.7","12.5","+43"
"",8
"91",8,"Michael Wilson",ARI,"WR39","26","81","113","94.6","8.8","-12"
"92",8,"Mike Evans",SF,"WR40","33","50","112","94.8","14.9","+1"
"93",8,"Denzel Boston",CLE,"WR41","22","72","124","96.3","17.9","+9"
"94",8,"Wan'Dale Robinson",TEN,"WR42","25","85","105","96.8","5.5","-6"
"95",8,"Courtland Sutton",DEN,"WR43","30","82","108","96.8","9.2","+14"
"96",8,"Quentin Johnston",LAC,"WR44","24","89","112","98.3","5.2","+12"
"97",8,"David Montgomery",HOU,"RB26","29","73","120","99.0","11.1","-27"
"98",8,"Michael Pittman Jr.",PIT,"WR45","28","84","118","99.4","10.1","+7"
"99",8,"Xavier Worthy",KC,"WR46","23","84","115","100.5","8.4","+14"
"100",8,"Josh Downs",IND,"WR47","25","87","113","101.0","8.2","+14"
"101",8,"Omar Cooper Jr.",NYJ,"WR48","22","76","143","102.3","23.8","-6"
"102",8,"Jayden Reed",GB,"WR49","26","83","116","103.3","7.5","+16"
"103",9,"Jakobi Meyers",JAC,"WR50","29","93","124","106.4","8.8","+27"
"104",9,"Jayden Higgins",HOU,"WR51","23","83","171","106.9","23.6","-"
"105",9,"Jared Goff",DET,"QB16","31","91","163","109.3","19.0","+37"
"106",9,"Matthew Golden",GB,"WR52","23","95","119","109.6","8.1","-6"
"107",9,"Chris Godwin Jr.",TB,"WR53","30","91","131","109.8","12.5","+22"
"108",9,"Jaylen Warren",PIT,"RB27","27","92","132","110.4","14.2","-22"
"109",9,"Brenton Strange",JAC,"TE13","25","89","128","112.7","12.4","+7"
"110",9,"Jake Ferguson",DAL,"TE14","27","87","130","113.8","11.4","-14"
"111",9,"Romeo Doubs",NE,"WR54","26","95","134","114.4","10.1","+14"
"112",9,"Eli Stowers",PHI,"TE15","23","69","207","116.6","50.0","+11"
"113",9,"Blake Corum",LAR,"RB28","25","98","135","116.7","14.1","-16"
"114",9,"Kyle Monangai",CHI,"RB29","24","98","159","117.9","18.3","-32"
"115",9,"Fernando Mendoza",LV,"QB17","22","91","154","119.5","21.3","-4"
"116",9,"Dallas Goedert",PHI,"TE16","31","77","155","122.0","23.5","+31"
"117",9,"Baker Mayfield",TB,"QB18","31","91","162","122.1","18.2","+10"
"118",9,"Jalen Coker",CAR,"WR55","24","108","131","123.0","5.7","+10"
"119",9,"C.J. Stroud",HOU,"QB19","24","110","141","123.0","13.7","+30"
"120",9,"Khalil Shakir",BUF,"WR56","26","110","135","123.0","8.4","+14"
"121",9,"Oronde Gadsden II",LAC,"TE17","23","89","184","123.3","24.4","-34"
"122",9,"RJ Harvey",DEN,"RB30","25","97","146","123.3","14.9","-51"
"123",9,"Mark Andrews",BAL,"TE18","31","99","154","124.8","15.4","+18"
"124",9,"Cam Ward",TEN,"QB20","24","109","161","125.7","15.8","+32"
"125",9,"Tyler Shough",NO,"QB21","26","110","175","130.2","16.0","+68"
"126",9,"Rico Dowdle",PIT,"RB31","28","104","146","130.8","12.6","-27"
"127",9,"Jonathon Brooks",CAR,"RB32","23","98","178","131.0","24.9","-26"
"128",9,"Zach Charbonnet",SEA,"RB33","25","86","194","131.6","31.6","-11"
"129",9,"Rhamondre Stevenson",NE,"RB34","28","103","149","132.1","12.2","-26"
"130",9,"Chuba Hubbard",CAR,"RB35","27","106","158","133.0","16.8","-39"
"131",9,"Malik Willis",MIA,"QB22","27","118","147","134.3","9.8","+99"
"132",10,"Kyler Murray",MIN,"QB23","29","109","178","136.2","16.4","+66"
"133",10,"Matthew Stafford",LAR,"QB24","38","91","176","137.6","20.3","-1"
"134",10,"Terrance Ferguson",LAR,"TE19","23","109","171","137.8","21.5","+41"
"135",10,"Jonah Coleman",DEN,"RB36","23","100","204","139.1","27.6","-16"
"136",10,"Tre' Harris",LAC,"WR57","24","112","173","139.8","17.6","+36"
"137",10,"Sam Darnold",SEA,"QB25","29","127","160","140.8","7.7","+63"
"138",10,"Stefon Diggs",WAS,"WR58","32","115","183","142.0","22.8","+10"
"139",10,"Tony Pollard",TEN,"RB37","29","112","181","143.2","22.7","-18"
"140",10,"Antonio Williams",WAS,"WR59","22","112","198","144.0","27.8","+23"
"141",10,"Rashid Shaheed",SEA,"WR60","28","113","182","144.3","21.2","+5"
"142",10,"Chig Okonkwo",WAS,"TE20","26","118","187","144.3","22.7","+25"
"143",10,"De'Zhaun Stribling",SF,"WR61","23","88","259","145.5","44.8","-4"
"144",10,"AJ Barner",SEA,"TE21","24","114","164","146.3","17.4","-9"
"145",10,"Daniel Jones",IND,"QB26","29","139","154","147.0","4.4","+96"
"146",10,"Kenny Gainwell",TB,"RB38","27","111","168","147.8","16.4","-24"
"147",10,"Travis Kelce",KC,"TE22","36","88","177","149.0","22.2","-16"
"148",10,"Jalen McMillan",TB,"WR62","24","125","194","149.3","20.4","+3"
"149",10,"Ricky Pearsall",SF,"WR63","25","99","175","128.1","26.4","-"
"150",10,"Jacory Croskey-Merritt",WAS,"RB39","25","138","162","151.3","7.2","-40"
"151",10,"Adonai Mitchell",NYJ,"WR64","23","126","183","153.8","20.6","+64"
"152",10,"Bryce Young",CAR,"QB27","25","142","203","154.3","16.1","+79"
"153",10,"J.K. Dobbins",DEN,"RB40","27","133","178","154.6","13.1","-38"
"154",10,"Travis Hunter",JAC,"WR65","23","105","192","155.1","23.8","-42"
"155",10,"Germie Bernard",PIT,"WR66","22","115","214","155.2","28.2","-18"
"156",10,"Juwan Johnson",NO,"TE23","29","117","184","155.3","20.7","+3"
"157",10,"Chris Bell",MIA,"WR67","22","117","234","156.2","40.9","-12"
"158",10,"Rachaad White",WAS,"RB41","27","129","182","157.4","15.0","-18"
"159",10,"Jauan Jennings",MIN,"WR68","29","127","209","158.4","21.6","+18"
"160",10,"Jordan Mason",MIN,"RB42","27","146","191","161.9","13.0","-34"
"161",10,"Jaylin Noel",HOU,"WR69","24","125","216","162.1","25.1","+81"
"162",10,"T.J. Hockenson",MIN,"TE24","29","144","186","165.2","14.1","-1"
"163",10,"Pat Bryant",DEN,"WR70","23","135","198","165.3","20.0","+48"
"164",10,"Jerry Jeudy",CLE,"WR71","27","124","192","166.8","21.0","+44"
"165",10,"Tyler Allgeier",ARI,"RB43","26","132","197","168.6","16.5","-45"
"166",11,"Hunter Henry",NE,"TE25","31","124","231","170.5","33.4","+8"
"167",11,"Woody Marks",HOU,"RB44","25","148","191","172.4","11.6","-43"
"168",11,"Ted Hurst III",TB,"WR72","22","125","260","173.3","37.4","+37"
"169",11,"Deebo Samuel Sr.",SF,"WR73","30","128","237","173.9","37.2","-14"
"170",11,"Tyrone Tracy Jr.",NYG,"RB45","26","155","193","173.9","10.8","-27"
"171",11,"Emmett Johnson",KC,"RB46","22","140","202","174.4","21.1","-27"
"172",11,"Chris Rodriguez Jr.",JAC,"RB47","26","129","202","174.8","20.4","-10"
"173",11,"Kayshon Boutte",HOU,"WR74","24","138","248","176.9","25.6","+5"
"174",11,"Michael Penix Jr.",ATL,"QB28","26","154","204","177.1","18.7","+105"
"175",11,"Ja'Kobi Lane",BAL,"WR75","22","128","255","178.4","39.1","-25"
"176",11,"Isaac TeSlaa",DET,"WR76","24","122","237","178.5","30.3","-5"
"177",11,"Troy Franklin",DEN,"WR77","23","148","212","179.3","21.4","+30"
"178",11,"Nicholas Singleton",TEN,"RB48","22","146","221","181.2","22.0","-42"
"179",11,"Dylan Sampson",CLE,"RB49","21","162","216","182.3","17.5","-21"
"180",11,"Gunnar Helm",TEN,"TE26","23","153","219","182.7","17.0","-1"
"181",11,"Aaron Jones Sr.",MIN,"RB50","31","155","209","183.6","21.1","-28"
"182",11,"Elijah Sarratt",BAL,"WR78","23","143","238","183.8","31.3","-28"
"183",11,"Keaton Mitchell",LAC,"RB51","24","136","216","185.6","18.5","-14"
"184",11,"Malachi Fields",NYG,"WR79","23","145","237","187.3","31.6","-16"
"185",11,"Mike Washington Jr.",LV,"RB52","23","156","230","189.2","23.2","-21"
"186",11,"Zachariah Branch",ATL,"WR80","22","138","223","189.3","24.3","-48"
"187",11,"Dalton Schultz",HOU,"TE27","30","129","255","190.8","31.3","+27"
"188",11,"Tyjae Spears",TEN,"RB53","25","178","217","196.2","11.8","-31"
"189",11,"Ty Simpson",LAR,"QB29","23","147","177","156.3","9.4","+14"
"190",11,"Jalen Nailor",LV,"WR81","27","151","283","197.8","38.5","+12"
"191",11,"Dontayvion Wicks",PHI,"WR82","25","157","282","197.9","34.2","+73"
"192",11,"Cade Otton",TB,"TE28","27","171","234","199.8","19.5","+55"
"193",11,"Braelon Allen",NYJ,"RB54","22","181","220","201.9","14.6","-41"
"194",11,"Tank Bigsby",PHI,"RB55","24","182","220","202.1","14.5","-34"
"195",11,"Shedeur Sanders",CLE,"QB30","24","174","222","204.0","13.1","+74"
"196",11,"Kaytron Allen",WAS,"RB56","23","146","245","204.7","24.1","+5"
"197",11,"David Njoku",LAC,"TE29","30","184","244","205.8","17.8","+21"
"198",11,"Elic Ayomanor",TEN,"WR83","23","165","260","208.3","30.2","+50"
"199",11,"Tre Tucker",LV,"WR84","25","152","265","208.6","40.4","+35"
"200",11,"Isiah Pacheco",DET,"RB57","27","178","262","212.1","23.1","-35"
"201",12,"Tory Horton",SEA,"WR85","23","153","280","217.3","33.8","+44"
"202",12,"Ryan Flournoy",DAL,"WR86","26","161","268","201.0","33.5","+34"
"203",12,"Max Klare",LAR,"TE30","23","177","328","218.0","45.4","+41"
"204",12,"Skyler Bell",BUF,"WR87","24","137","271","202.6","41.1","+9"
"205",12,"Tua Tagovailoa",ATL,"QB31","28","205","268","219.3","20.3","-"
"206",12,"Jack Bech",LV,"WR88","23","185","260","219.4","23.3","+69"
"207",12,"Chimere Dike",TEN,"WR89","24","179","256","219.5","23.2","+36"
"208",12,"Calvin Ridley",TEN,"WR90","31","154","257","203.7","32.0","+66"
"209",12,"Alvin Kamara",NO,"RB58","31","178","288","220.3","33.2","-36"
"210",12,"Brian Robinson Jr.",ATL,"RB59","27","185","298","220.4","30.3","-6"
"211",12,"Pat Freiermuth",PIT,"TE31","27","182","255","205.6","20.8","+39"
"212",12,"Mason Taylor",NYJ,"TE32","22","186","243","205.6","15.2","-36"
"213",12,"Kimani Vidal",LAC,"RB60","25","202","290","227.0","21.0","-4"
"214",12,"Darnell Mooney",NYG,"WR91","28","175","236","211.6","20.6","+70"
"215",12,"Kyle Williams",NE,"WR92","23","174","351","227.4","43.1","+68"
