player_name,team,position,overall_rank,position_rank,tier,projection,auction_value,source,bye_week,draft_year,draft_round,age_at_week_1,source_file
Jahmyr Gibbs,DET,RB,1,1,,,57,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Bijan Robinson,ATL,RB,2,2,,,56,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Ja'Marr Chase,CIN,WR,3,1,,,56,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Puka Nacua,LAR,WR,4,2,,,55,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Jaxon Smith-Njigba,SEA,WR,5,3,,,54,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Christian McCaffrey,SF,RB,6,3,,,53,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Jonathan Taylor,IND,RB,7,4,,,52,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Amon-Ra St. Brown,DET,WR,8,4,,,52,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
CeeDee Lamb,DAL,WR,9,5,,,51,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
De'Von Achane,MIA,RB,10,5,,,50,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Justin Jefferson,MIN,WR,11,6,,,48,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
James Cook III,BUF,RB,12,6,,,46,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Ashton Jeanty,LV,RB,13,7,,,45,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Drake London,ATL,WR,14,7,,,43,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Jeremiyah Love,ARI,RB,15,8,,,42,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
Rashee Rice,KC,WR,16,8,,,40,ESPN 2026 PPR League Cheat Sheet,5,,,,NFL26_CS_PPR(new).pdf
Trey McBride,ARI,TE,17,1,,,38,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
Saquon Barkley,PHI,RB,18,9,,,37,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Derrick Henry,BAL,RB,19,10,,,36,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Chase Brown,CIN,RB,20,11,,,35,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Kenneth Walker III,KC,RB,21,12,,,34,ESPN 2026 PPR League Cheat Sheet,5,,,,NFL26_CS_PPR(new).pdf
Omarion Hampton,LAC,RB,22,13,,,33,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Breece Hall,NYJ,RB,23,14,,,32,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Brock Bowers,LV,TE,24,2,,,32,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Nico Collins,HOU,WR,25,9,,,31,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Chris Olave,NO,WR,26,10,,,30,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Garrett Wilson,NYJ,WR,27,11,,,30,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
A.J. Brown,NE,WR,28,12,,,29,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Malik Nabers,NYG,WR,29,13,,,28,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Josh Jacobs,GB,RB,30,15,,,27,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Javonte Williams,DAL,RB,31,16,,,26,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
George Pickens,DAL,WR,32,14,,,25,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
Tetairoa McMillan,CAR,WR,33,15,,,24,ESPN 2026 PPR League Cheat Sheet,5,,,,NFL26_CS_PPR(new).pdf
Zay Flowers,BAL,WR,34,16,,,23,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
DeVonta Smith,PHI,WR,35,17,,,22,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Josh Allen,BUF,QB,36,1,,,22,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Travis Etienne Jr.,NO,RB,37,17,,,22,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Kyren Williams,LAR,RB,38,18,,,21,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Quinshon Judkins,CLE,RB,39,19,,,21,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Cam Skattebo,NYG,RB,40,20,,,20,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Bucky Irving,TB,RB,41,21,,,19,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Emeka Egbuka,TB,WR,42,18,,,19,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Davante Adams,LAR,WR,43,19,,,18,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Ladd McConkey,LAC,WR,44,20,,,17,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Terry McLaurin,WAS,WR,45,21,,,17,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Tee Higgins,CIN,WR,46,22,,,15,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Jaylen Waddle,DEN,WR,47,23,,,15,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Rome Odunze,CHI,WR,48,24,,,14,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Colston Loveland,CHI,TE,49,3,,,13,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Tyler Warren,IND,TE,50,4,,,13,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Jameson Williams,DET,WR,51,25,,,12,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
DJ Moore,BUF,WR,52,26,,,11,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Luther Burden III,CHI,WR,53,27,,,11,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Carnell Tate,TEN,WR,54,28,,,10,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Jayden Daniels,WAS,QB,55,2,,,10,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Lamar Jackson,BAL,QB,56,3,,,10,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Drake Maye,NE,QB,57,4,,,10,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Jalen Hurts,PHI,QB,58,5,,,9,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Bhayshul Tuten,JAC,RB,59,22,,,9,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
D'Andre Swift,CHI,RB,60,23,,,9,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
David Montgomery,HOU,RB,61,24,,,8,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Jadarian Price,SEA,RB,62,25,,,8,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
TreVeyon Henderson,NE,RB,63,26,,,8,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Rhamondre Stevenson,NE,RB,64,27,,,7,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Courtland Sutton,DEN,WR,65,29,,,7,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Michael Pittman Jr.,PIT,WR,66,30,,,7,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Marvin Harrison Jr.,ARI,WR,67,31,,,7,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
DK Metcalf,PIT,WR,68,32,,,6,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Parker Washington,JAC,WR,69,33,,,6,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Alec Pierce,IND,WR,70,34,,,6,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Kyle Pitts Sr.,ATL,TE,71,5,,,6,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Harold Fannin Jr.,CLE,TE,72,6,,,6,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Sam LaPorta,DET,TE,73,7,,,6,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Joe Burrow,CIN,QB,74,6,,,5,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Jaxson Dart,NYG,QB,75,7,,,5,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Mike Evans,SF,WR,76,35,,,5,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Christian Watson,GB,WR,77,36,,,5,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Matthew Golden,GB,WR,78,37,,,4,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Michael Wilson,ARI,WR,79,38,,,4,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
