player_name,team,position,overall_rank,position_rank,tier,projection,auction_value,source,bye_week,draft_year,draft_round,age_at_week_1,source_file
Jahmyr Gibbs,DET,RB,1,1,,,57,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Bijan Robinson,ATL,RB,2,2,,,56,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Puka Nacua,LAR,WR,3,1,,,56,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Ja'Marr Chase,CIN,WR,4,2,,,55,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Jaxon Smith-Njigba,SEA,WR,5,3,,,54,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Christian McCaffrey,SF,RB,6,3,,,53,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Jonathan Taylor,IND,RB,7,4,,,52,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Amon-Ra St. Brown,DET,WR,8,4,,,52,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
CeeDee Lamb,DAL,WR,9,5,,,51,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
De'Von Achane,MIA,RB,10,5,,,50,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Justin Jefferson,MIN,WR,11,6,,,48,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
James Cook III,BUF,RB,12,6,,,46,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Jeremiyah Love,ARI,RB,13,7,,,45,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
Drake London,ATL,WR,14,7,,,43,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Ashton Jeanty,LV,RB,15,8,,,42,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Rashee Rice,KC,WR,16,8,,,40,ESPN 2026 PPR Top 300,5,,,,NFL26_CS_PPR300.pdf
Trey McBride,ARI,TE,17,1,,,38,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
Omarion Hampton,LAC,RB,18,9,,,37,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Saquon Barkley,PHI,RB,19,10,,,36,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Derrick Henry,BAL,RB,20,11,,,35,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Chase Brown,CIN,RB,21,12,,,34,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Kenneth Walker III,KC,RB,22,13,,,33,ESPN 2026 PPR Top 300,5,,,,NFL26_CS_PPR300.pdf
Josh Jacobs,GB,RB,23,14,,,32,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Brock Bowers,LV,TE,24,2,,,32,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Nico Collins,HOU,WR,25,9,,,31,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Garrett Wilson,NYJ,WR,26,10,,,30,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
A.J. Brown,NE,WR,27,11,,,30,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Chris Olave,NO,WR,28,12,,,29,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
George Pickens,DAL,WR,29,13,,,28,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
Breece Hall,NYJ,RB,30,15,,,27,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Javonte Williams,DAL,RB,31,16,,,26,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
Malik Nabers,NYG,WR,32,14,,,25,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Tetairoa McMillan,CAR,WR,33,15,,,24,ESPN 2026 PPR Top 300,5,,,,NFL26_CS_PPR300.pdf
Zay Flowers,BAL,WR,34,16,,,23,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
DeVonta Smith,PHI,WR,35,17,,,22,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Josh Allen,BUF,QB,36,1,,,22,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Kyren Williams,LAR,RB,37,17,,,22,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Travis Etienne Jr.,NO,RB,38,18,,,21,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Cam Skattebo,NYG,RB,39,19,,,21,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Quinshon Judkins,CLE,RB,40,20,,,20,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Bucky Irving,TB,RB,41,21,,,19,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Emeka Egbuka,TB,WR,42,18,,,19,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Davante Adams,LAR,WR,43,19,,,18,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Ladd McConkey,LAC,WR,44,20,,,17,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Terry McLaurin,WAS,WR,45,21,,,17,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Tee Higgins,CIN,WR,46,22,,,15,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Jaylen Waddle,DEN,WR,47,23,,,15,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Jameson Williams,DET,WR,48,24,,,14,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Colston Loveland,CHI,TE,49,3,,,13,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Tyler Warren,IND,TE,50,4,,,13,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Carnell Tate,TEN,WR,51,25,,,12,ESPN 2026 PPR Top 300,9,,,,NFL26_CS_PPR300.pdf
Rome Odunze,CHI,WR,52,26,,,11,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Luther Burden III,CHI,WR,53,27,,,11,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
DJ Moore,BUF,WR,54,28,,,10,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Jayden Daniels,WAS,QB,55,2,,,10,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Lamar Jackson,BAL,QB,56,3,,,10,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Drake Maye,NE,QB,57,4,,,10,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Jalen Hurts,PHI,QB,58,5,,,9,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
TreVeyon Henderson,NE,RB,59,22,,,9,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Bhayshul Tuten,JAC,RB,60,23,,,9,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
D'Andre Swift,CHI,RB,61,24,,,8,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
David Montgomery,HOU,RB,62,25,,,8,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Jadarian Price,SEA,RB,63,26,,,8,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Tony Pollard,TEN,RB,64,27,,,7,ESPN 2026 PPR Top 300,9,,,,NFL26_CS_PPR300.pdf
Courtland Sutton,DEN,WR,65,29,,,7,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Michael Pittman Jr.,PIT,WR,66,30,,,7,ESPN 2026 PPR Top 300,9,,,,NFL26_CS_PPR300.pdf
Alec Pierce,IND,WR,67,31,,,7,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Marvin Harrison Jr.,ARI,WR,68,32,,,6,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
DK Metcalf,PIT,WR,69,33,,,6,ESPN 2026 PPR Top 300,9,,,,NFL26_CS_PPR300.pdf
Jordyn Tyson,NO,WR,70,34,,,6,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Kyle Pitts Sr.,ATL,TE,71,5,,,6,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Harold Fannin Jr.,CLE,TE,72,6,,,6,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Sam LaPorta,DET,TE,73,7,,,6,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Joe Burrow,CIN,QB,74,6,,,5,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Jaxson Dart,NYG,QB,75,7,,,5,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Mike Evans,SF,WR,76,35,,,5,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Parker Washington,JAC,WR,77,36,,,5,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Christian Watson,GB,WR,78,37,,,4,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Matthew Golden,GB,WR,79,38,,,4,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Michael Wilson,ARI,WR,80,39,,,4,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
Brian Thomas Jr.,JAC,WR,81,40,,,4,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Trevor Lawrence,JAC,QB,82,8,,,4,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Dak Prescott,DAL,QB,83,9,,,4,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
Bo Nix,DEN,QB,84,10,,,4,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Brock Purdy,SF,QB,85,11,,,4,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Matthew Stafford,LAR,QB,86,12,,,4,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Caleb Williams,CHI,QB,87,13,,,3,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Jakobi Meyers,JAC,WR,88,41,,,3,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Wan'Dale Robinson,TEN,WR,89,42,,,3,ESPN 2026 PPR Top 300,9,,,,NFL26_CS_PPR300.pdf
Makai Lemon,PHI,WR,90,43,,,3,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Josh Downs,IND,WR,91,44,,,3,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Jordan Addison,MIN,WR,92,45,,,3,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Justin Herbert,LAC,QB,93,14,,,3,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Patrick Mahomes,KC,QB,94,15,,,3,ESPN 2026 PPR Top 300,5,,,,NFL26_CS_PPR300.pdf
Jaylen Warren,PIT,RB,95,28,,,3,ESPN 2026 PPR Top 300,9,,,,NFL26_CS_PPR300.pdf
Rhamondre Stevenson,NE,RB,96,29,,,2,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Rico Dowdle,PIT,RB,97,30,,,2,ESPN 2026 PPR Top 300,9,,,,NFL26_CS_PPR300.pdf
Kenny Gainwell,TB,RB,98,31,,,2,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Chuba Hubbard,CAR,RB,99,32,,,2,ESPN 2026 PPR Top 300,5,,,,NFL26_CS_PPR300.pdf
Aaron Jones Sr.,MIN,RB,100,33,,,2,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
George Kittle,SF,TE,101,8,,,2,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Tucker Kraft,GB,TE,102,9,,,2,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Dallas Goedert,PHI,TE,103,10,,,2,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Travis Kelce,KC,TE,104,11,,,2,ESPN 2026 PPR Top 300,5,,,,NFL26_CS_PPR300.pdf
Rachaad White,WAS,RB,105,34,,,2,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Jonathon Brooks,CAR,RB,106,35,,,2,ESPN 2026 PPR Top 300,5,,,,NFL26_CS_PPR300.pdf
J.K. Dobbins,DEN,RB,107,36,,,2,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
RJ Harvey,DEN,RB,108,37,,,2,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Jake Ferguson,DAL,TE,109,12,,,2,ESPN 2026 PPR Top 300,14,,,,NFL26_CS_PPR300.pdf
Mark Andrews,BAL,TE,110,13,,,2,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
T.J. Hockenson,MIN,TE,111,14,,,2,ESPN 2026 PPR Top 300,6,,,,NFL26_CS_PPR300.pdf
Khalil Shakir,BUF,WR,112,46,,,2,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Jayden Reed,GB,WR,113,47,,,2,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Xavier Worthy,KC,WR,114,48,,,2,ESPN 2026 PPR Top 300,5,,,,NFL26_CS_PPR300.pdf
Kyle Monangai,CHI,RB,115,38,,,2,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
Kenyon Sadiq,NYJ,TE,116,15,,,2,ESPN 2026 PPR Top 300,13,,,,NFL26_CS_PPR300.pdf
Isaiah Likely,NYG,TE,117,16,,,2,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Dalton Kincaid,BUF,TE,118,17,,,2,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Hunter Henry,NE,TE,119,18,,,2,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Jacory Croskey-Merritt,WAS,RB,120,39,,,2,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Blake Corum,LAR,RB,121,40,,,1,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Woody Marks,HOU,RB,122,41,,,1,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Zach Charbonnet,SEA,RB,123,42,,,1,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Quentin Johnston,LAC,WR,124,49,,,1,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
KC Concepcion,CLE,WR,125,50,,,1,ESPN 2026 PPR Top 300,11,,,,NFL26_CS_PPR300.pdf
Deebo Samuel Sr.,SF,WR,126,51,,,1,ESPN 2026 PPR Top 300,8,,,,NFL26_CS_PPR300.pdf
Stefon Diggs,WAS,WR,127,52,,,1,ESPN 2026 PPR Top 300,7,,,,NFL26_CS_PPR300.pdf
Chris Godwin Jr.,TB,WR,128,53,,,1,ESPN 2026 PPR Top 300,10,,,,NFL26_CS_PPR300.pdf
