overall_rank,player_name,team,position,position_rank,bye_week,adp,auction_value,source
1,J. Gibbs,DET,RB,1,6,1.4,51,PFF
2,Bijan Robinson,ATL,RB,2,11,2.5,54,PFF
3,P. Nacua,LAR,WR,1,11,5.2,40,PFF
4,J. Chase,CIN,WR,2,6,3.9,59,PFF
5,J. Smith-Njigba,SEA,WR,3,11,5.7,30,PFF
6,C. McCaffrey,SF,RB,3,8,7.3,44,PFF
7,J. Jefferson,MIN,WR,4,6,12.1,49,PFF
8,D. Achane,MIA,RB,4,6,12.0,36,PFF
9,A. St. Brown,DET,WR,5,6,8.2,43,PFF
10,J. Taylor,IND,RB,5,13,7.7,33,PFF
11,C. Lamb,DAL,WR,6,14,10.6,51,PFF
12,J. Cook,BUF,RB,6,7,12.4,23,PFF
13,C. Brown,CIN,RB,7,6,22.5,40,PFF
14,K. Walker III,KC,RB,8,5,22.1,22,PFF
15,O. Hampton,LAC,RB,9,7,25.9,27,PFF
16,D. London,ATL,WR,7,11,18.5,44,PFF
17,A. Brown,NE,WR,8,11,27.0,32,PFF
18,S. Barkley,PHI,RB,10,10,15.6,46,PFF
19,A. Jeanty,LV,RB,11,13,17.2,41,PFF
20,N. Collins,HOU,WR,9,8,27.0,45,PFF
21,K. Williams,LAR,RB,12,11,41.9,29,PFF
22,D. Henry,BAL,RB,13,13,18.9,37,PFF
23,J. Jacobs,GB,RB,14,11,36.8,32,PFF
24,J. Love,ARI,RB,15,14,22.6,,PFF
25,D. Smith,PHI,WR,10,10,41.0,17,PFF
26,M. Nabers,NYG,WR,11,8,34.2,44,PFF
27,B. Bowers,LV,TE,1,13,24.2,30,PFF
28,C. Olave,NO,WR,12,8,30.9,10,PFF
29,T. McBride,ARI,TE,2,14,20.5,26,PFF
30,B. Hall,NYJ,RB,16,13,33.6,22,PFF
31,J. Allen,BUF,QB,1,7,22.1,21,PFF
32,G. Pickens,DAL,WR,13,14,30.6,22,PFF
33,J. Williams,DAL,RB,17,14,35.6,5,PFF
34,G. Wilson,NYJ,WR,14,13,36.5,27,PFF
35,Z. Flowers,BAL,WR,15,13,40.8,14,PFF
36,L. McConkey,LAC,WR,16,7,50.7,37,PFF
37,L. Burden III,CHI,WR,17,10,76.9,3,PFF
38,J. Waddle,DEN,WR,18,10,57.1,17,PFF
39,R. Rice,KC,WR,19,5,22.1,14,PFF
40,T. Higgins,CIN,WR,20,6,55.8,28,PFF
41,Q. Judkins,CLE,RB,18,11,55.0,3,PFF
42,T. McMillan,CAR,WR,21,5,41.5,23,PFF
43,E. Egbuka,TB,WR,22,10,47.8,18,PFF
44,B. Irving,TB,RB,19,10,53.8,37,PFF
45,D. Swift,CHI,RB,20,10,64.8,13,PFF
46,C. Loveland,CHI,TE,3,10,45.0,3,PFF
47,D. Maye,NE,QB,2,11,47.4,3,PFF
48,T. McLaurin,WAS,WR,23,7,60.0,19,PFF
49,P. Washington,JAX,WR,24,7,95.3,1,PFF
50,T. Etienne Jr.,NO,RB,21,8,44.1,7,PFF
51,D. Moore,BUF,WR,25,7,62.8,20,PFF
52,C. Watson,GB,WR,26,11,96.1,1,PFF
53,R. Stevenson,NE,RB,22,11,84.5,3,PFF
54,J. Williams,DET,WR,27,6,67.4,19,PFF
55,D. Adams,LAR,WR,28,11,46.1,23,PFF
56,J. Hurts,PHI,QB,3,10,51.4,14,PFF
57,L. Jackson,BAL,QB,4,13,38.6,21,PFF
58,T. Kraft,GB,TE,4,11,89.9,4,PFF
59,R. Odunze,CHI,WR,29,10,64.7,11,PFF
60,J. Daniels,WAS,QB,5,7,50.9,16,PFF
61,M. Evans,SF,WR,30,8,94.0,22,PFF
62,J. Burrow,CIN,QB,6,6,58.8,18,PFF
63,J. Brooks,CAR,RB,23,5,116.8,,PFF
64,H. Fannin Jr.,CLE,TE,5,11,75.4,1,PFF
65,D. Montgomery,HOU,RB,24,8,70.2,9,PFF
66,B. Thomas Jr.,JAX,WR,31,7,102.8,45,PFF
67,C. Tate,TEN,WR,32,9,78.3,,PFF
68,T. Warren,IND,TE,6,13,50.1,8,PFF
69,R. Dowdle,PIT,RB,25,9,104.1,2,PFF
70,B. Tuten,JAX,RB,26,7,73.2,3,PFF
71,G. Kittle,SF,TE,7,8,95.5,18,PFF
72,C. Skattebo,NYG,RB,27,8,44.0,4,PFF
73,T. Henderson,NE,RB,28,11,78.1,23,PFF
74,J. Warren,PIT,RB,29,9,98.7,8,PFF
75,J. Price,SEA,RB,30,11,76.6,,PFF
76,D. Metcalf,PIT,WR,33,9,86.8,21,PFF
77,J. Herbert,LAC,QB,7,7,106.9,2,PFF
78,T. Lawrence,JAX,QB,8,7,93.0,3,PFF
79,S. LaPorta,DET,TE,8,6,70.6,9,PFF
80,K. Pitts,ATL,TE,9,11,64.9,2,PFF
81,D. Kincaid,BUF,TE,10,7,132.0,3,PFF
82,M. Wilson,ARI,WR,34,14,103.7,1,PFF
83,M. Harrison Jr.,ARI,WR,35,14,86.1,25,PFF
84,Q. Johnston,LAC,WR,36,7,138.0,1,PFF
85,M. Pittman Jr.,PIT,WR,37,9,91.2,7,PFF
86,B. Purdy,SF,QB,9,8,103.0,3,PFF
87,C. Godwin,TB,WR,38,10,143.5,6,PFF
88,J. Downs,IND,WR,39,13,133.7,5,PFF
89,S. Diggs,WAS,WR,40,7,127.2,10,PFF
90,J. Reed,GB,WR,41,11,126.0,5,PFF
91,C. Williams,CHI,QB,10,10,92.3,3,PFF
92,B. Corum,LAR,RB,31,11,136.5,1,PFF
93,M. Andrews,BAL,TE,11,13,121.1,5,PFF
94,M. Golden,GB,WR,42,11,102.8,11,PFF
95,J. Croskey-Merritt,WAS,RB,32,7,131.8,8,PFF
96,D. Prescott,DAL,QB,11,14,85.4,7,PFF
97,X. Worthy,KC,WR,43,5,123.9,20,PFF
98,J. Mason,MIN,RB,33,6,140.2,9,PFF
99,T. Pollard,TEN,RB,34,9,107.1,15,PFF
100,C. Okonkwo,WAS,TE,12,7,169.8,1,PFF
101,J. Dobbins,DEN,RB,35,10,116.9,7,PFF
102,R. Shaheed,SEA,WR,44,11,154.9,2,PFF
103,T. Kelce,KC,TE,13,5,97.1,7,PFF
104,K. Concepcion,CLE,WR,45,11,145.1,,PFF
105,K. Gainwell,TB,RB,36,10,117.9,,PFF
106,M. Lemon,PHI,WR,46,10,142.7,,PFF
107,R. Harvey,DEN,RB,37,10,138.6,17,PFF
108,K. Murray,MIN,QB,12,6,146.6,3,PFF
109,C. Hubbard,CAR,RB,38,5,122.1,19,PFF
110,B. Nix,DEN,QB,13,10,86.9,5,PFF
111,J. Dart,NYG,QB,14,8,76.3,1,PFF
112,P. Mahomes,KC,QB,15,5,107.0,9,PFF
113,M. Stafford,LAR,QB,16,11,80.1,1,PFF
114,C. Rodriguez Jr.,JAX,RB,39,7,166.0,2,PFF
115,B. Strange,JAX,TE,14,7,167.9,2,PFF
