Position,Position Rank,Player,Team,Bye Week,Projected Points,Roster Status,FantasySharks PID,Player Page
QB,1,Joe Burrow,CIN,6,449,Other Roster,14777,https://www.fantasysharks.com/players/playerpage.php?PID=14777
QB,2,Matthew Stafford,LAR,11,444,Other Roster,9431,https://www.fantasysharks.com/players/playerpage.php?PID=9431
QB,3,Josh Allen,BUF,7,433,Other Roster,13589,https://www.fantasysharks.com/players/playerpage.php?PID=13589
QB,4,Jared Goff,DET,6,433,My Team,12611,https://www.fantasysharks.com/players/playerpage.php?PID=12611
QB,5,Lamar Jackson,BAL,13,426,Other Roster,13593,https://www.fantasysharks.com/players/playerpage.php?PID=13593
QB,6,Drake Maye,NEP,11,426,Other Roster,16580,https://www.fantasysharks.com/players/playerpage.php?PID=16580
QB,7,Caleb Williams,CHI,10,420,My Team,16579,https://www.fantasysharks.com/players/playerpage.php?PID=16579
QB,8,Patrick Mahomes,KCC,5,412,Other Roster,13116,https://www.fantasysharks.com/players/playerpage.php?PID=13116
QB,9,Dak Prescott,DAL,14,411,Other Roster,12620,https://www.fantasysharks.com/players/playerpage.php?PID=12620
QB,10,Jayden Daniels,WAS,7,409,Other Roster,16581,https://www.fantasysharks.com/players/playerpage.php?PID=16581
QB,11,Bo Nix,DEN,10,405,Other Roster,16582,https://www.fantasysharks.com/players/playerpage.php?PID=16582
QB,12,Jaxson Dart,NYG,8,404,Other Roster,17032,https://www.fantasysharks.com/players/playerpage.php?PID=17032
QB,13,Trevor Lawrence,JAC,7,402,Other Roster,15237,https://www.fantasysharks.com/players/playerpage.php?PID=15237
QB,14,Justin Herbert,LAC,7,399,Other Roster,14779,https://www.fantasysharks.com/players/playerpage.php?PID=14779
QB,15,Jalen Hurts,PHI,10,394,Other Roster,14783,https://www.fantasysharks.com/players/playerpage.php?PID=14783
QB,16,Kyler Murray,MIN,6,385,Available,14056,https://www.fantasysharks.com/players/playerpage.php?PID=14056
QB,17,C.J. Stroud,HOU,8,385,Other Roster,16150,https://www.fantasysharks.com/players/playerpage.php?PID=16150
QB,18,Jacoby Brissett,ARI,14,383,Other Roster,12616,https://www.fantasysharks.com/players/playerpage.php?PID=12616
QB,19,Brock Purdy,SFO,8,383,Other Roster,15698,https://www.fantasysharks.com/players/playerpage.php?PID=15698
QB,20,Baker Mayfield,TBB,10,380,Other Roster,13590,https://www.fantasysharks.com/players/playerpage.php?PID=13590
QB,21,Bryce Young,CAR,5,378,Available,16148,https://www.fantasysharks.com/players/playerpage.php?PID=16148
QB,22,Jordan Love,GBP,11,377,Other Roster,14782,https://www.fantasysharks.com/players/playerpage.php?PID=14782
QB,23,Sam Darnold,SEA,11,376,Other Roster,13592,https://www.fantasysharks.com/players/playerpage.php?PID=13592
QB,24,Tyler Shough,NOS,8,371,Other Roster,17039,https://www.fantasysharks.com/players/playerpage.php?PID=17039
QB,25,Aaron Rodgers,PIT,9,364,Other Roster,7836,https://www.fantasysharks.com/players/playerpage.php?PID=7836
QB,26,Cam Ward,TEN,9,341,Other Roster,17030,https://www.fantasysharks.com/players/playerpage.php?PID=17030
QB,27,Daniel Jones,IND,13,322,Other Roster,14059,https://www.fantasysharks.com/players/playerpage.php?PID=14059
QB,28,Geno Smith,NYJ,13,321,Available,11150,https://www.fantasysharks.com/players/playerpage.php?PID=11150
QB,29,Malik Willis,MIA,6,312,Available,15694,https://www.fantasysharks.com/players/playerpage.php?PID=15694
QB,30,Michael Penix Jr.,ATL,11,280,Available,16583,https://www.fantasysharks.com/players/playerpage.php?PID=16583
QB,31,Deshaun Watson,CLE,11,277,Available,13113,https://www.fantasysharks.com/players/playerpage.php?PID=13113
QB,32,Fernando Mendoza,LVR,13,186,Available,17462,https://www.fantasysharks.com/players/playerpage.php?PID=17462
QB,33,Kirk Cousins,LVR,13,156,Available,10700,https://www.fantasysharks.com/players/playerpage.php?PID=10700
QB,34,Tua Tagovailoa,ATL,11,133,Available,14778,https://www.fantasysharks.com/players/playerpage.php?PID=14778
QB,35,Shedeur Sanders,CLE,11,124,Other Roster,17031,https://www.fantasysharks.com/players/playerpage.php?PID=17031
QB,36,J.J. McCarthy,MIN,6,110,My Team,16584,https://www.fantasysharks.com/players/playerpage.php?PID=16584
QB,37,Spencer Rattler,NOS,8,105,Available,16586,https://www.fantasysharks.com/players/playerpage.php?PID=16586
QB,38,Jameis Winston,NYG,8,80,Available,12140,https://www.fantasysharks.com/players/playerpage.php?PID=12140
QB,39,Marcus Mariota,WAS,7,75,Other Roster,12141,https://www.fantasysharks.com/players/playerpage.php?PID=12141
QB,40,Mason Rudolph,PIT,9,72,Available,13595,https://www.fantasysharks.com/players/playerpage.php?PID=13595
QB,41,Davis Mills,HOU,8,71,Available,15252,https://www.fantasysharks.com/players/playerpage.php?PID=15252
QB,42,Mac Jones,SFO,8,64,Available,15241,https://www.fantasysharks.com/players/playerpage.php?PID=15241
QB,43,Tyrod Taylor,GBP,11,48,Available,10413,https://www.fantasysharks.com/players/playerpage.php?PID=10413
QB,44,Joe Flacco,CIN,6,47,Available,9064,https://www.fantasysharks.com/players/playerpage.php?PID=9064
